Role_ID,Industry,Human_Labor_Cost_hr,Tokens_per_Human_Hour,Inference_Cost_2026,Agent_Labor_Equivalent_Cost,Substitution_Elasticity,AI_Augmentation_Factor,Automation_Risk_Index,Hardware_CapEx_Sensitivity,Regulatory_Moat,Substitution_Year_Est,Industry_is_null,cost_ratio,Inference_Cost_2026_had_negative,Agent_Labor_Equivalent_Cost_had_negative,cost_ratio_had_negative,is_cost_outlier
INS-052,Insurance,37.0,61367.0,0.0765,0.0047,1.14,0.77,100,0.14,Med,2028,0,0.0020675675675675,0,0,0,0
LEG-009,Legal,119.0,268270.0,0.5111,0.1371,0.77,0.89,91,0.38,High,2032,0,0.0042949579831932,0,0,0,0
TEL-028,Telecom,70.0,164689.0,0.0985,0.0162,0.76,0.64,100,0.4,Low,2027,0,0.0014071428571428,0,0,0,0
CRE-075,Creative,53.0,268283.0,0.6581,0.1766,0.57,0.61,11,0.25,Low,2028,0,0.0124169811320754,0,0,0,0
HLT-022,Healthcare,136.0,250012.0,0.7774,0.1944,0.78,0.8,76,0.19,High,2030,0,0.0057161764705882,0,0,0,0
CON-066,Consulting,111.0,222721.0,0.4071,0.0907,1.02,0.69,100,0.31,Med,2029,0,0.0036675675675675,0,0,0,0
TEL-020,Telecom,108.0,253428.0,0.7901,0.2002,0.75,0.91,60,0.48,High,2031,0,0.0073157407407407,0,0,0,0
EDU-046,Education,54.0,181112.0,0.3943,0.0714,0.82,0.54,99,0.35,Med,2029,0,0.0073018518518518,0,0,0,0
FIN-031,Finance,79.0,148505.0,0.5004,0.0743,0.95,1.0,100,0.04,High,2030,0,0.0063341772151898,0,0,0,0
FIN-046,Finance,111.0,217325.0,0.6289,0.1367,0.74,0.9,87,0.41,High,2032,0,0.0056657657657657,0,0,0,0
CRE-048,Creative,111.0,379248.0,0.3712,0.1408,0.71,0.78,90,0.36,High,2029,0,0.0033441441441441,0,0,0,0
CRE-062,Creative,88.0,366580.0,0.4975,0.1824,0.59,0.46,51,0.35,Med,2027,0,0.005653409090909,0,0,0,0
CRE-024,Creative,67.0,319971.0,0.1433,0.0459,0.91,0.94,100,0.36,Low,2026,0,0.0021388059701492,0,0,0,0
RET-006,Retail,39.0,46371.0,0.0375,0.0017,0.93,0.55,100,0.14,Low,2027,0,0.0009615384615384,0,0,0,0
ENR-024,Energy,69.0,168673.0,0.4683,0.079,0.88,0.96,100,0.13,High,2031,0,0.0067869565217391,0,0,0,0
LOG-028,Logistics,30.0,45224.0,0.047,0.0021,0.89,0.71,100,0.26,Low,2027,0,0.0015666666666666,0,0,0,0
CON-034,Consulting,230.0,455958.0,0.3113,0.1419,0.73,0.33,100,0.58,Low,2028,0,0.0013534782608695,0,0,0,0
FIN-058,Finance,59.0,80340.0,0.2677,0.0215,1.05,1.0,100,0.08,High,2032,0,0.0045372881355932,0,0,0,0
LEG-032,Legal,69.0,102489.0,0.649,0.0665,0.68,0.98,100,0.08,High,2031,0,0.0094057971014492,0,0,0,0
RET-058,Retail,55.0,104484.0,0.5759,0.0602,0.74,0.79,100,0.27,High,2029,0,0.010470909090909,0,0,0,0
LEG-056,Legal,150.0,324690.0,0.4462,0.1449,1.19,0.68,100,0.52,High,2029,0,0.0029746666666666,0,0,0,0
CRE-016,Creative,92.0,478298.0,0.383,0.1832,0.83,0.87,44,0.45,High,2031,0,0.0041630434782608,0,0,0,0
TEL-023,Telecom,84.0,154256.0,0.2702,0.0417,0.71,0.59,100,0.26,Low,2027,0,0.0032166666666666,0,0,0,0
FIN-003,Finance,58.0,83259.0,0.4215,0.0351,0.89,0.59,100,0.27,Low,2028,0,0.0072672413793103,0,0,0,0
LEG-040,Legal,138.0,317605.0,0.6941,0.2204,0.62,0.76,72,0.19,Med,2028,0,0.0050297101449275,0,0,0,0
HLT-031,Healthcare,224.0,418401.0,0.1349,0.0564,0.74,0.53,100,0.42,High,2032,0,0.0006022321428571,0,0,0,0
RET-080,Retail,64.0,154927.0,0.2055,0.0318,0.71,0.31,100,0.77,Low,2026,0,0.0032109375,0,0,0,0
TEL-018,Telecom,70.0,168873.0,0.3068,0.0518,0.62,0.92,100,0.24,High,2030,0,0.0043828571428571,0,0,0,0
RET-059,Retail,47.0,63199.0,0.3003,0.019,1.09,0.46,100,0.34,Low,2026,0,0.0063893617021276,0,0,0,0
TEL-047,Telecom,42.0,82800.0,0.2966,0.0246,0.75,0.8,100,0.24,Med,2028,0,0.0070619047619047,0,0,0,0
UNKNOWN,Legal,140.0,304375.0,0.7049,0.2146,0.61,0.57,73,0.43,Low,2027,0,0.0050349999999999,0,0,0,0
LEG-001,Legal,187.0,346298.0,0.1001,0.0347,0.99,0.76,100,0.27,High,2031,0,0.000535294117647,0,0,0,0
GOV-072,Government,64.0,147216.0,0.1966,0.0289,0.59,0.69,100,0.33,Low,2028,0,0.003071875,0,0,0,0
TEL-040,Telecom,54.0,107209.0,0.0314,0.0034,0.86,0.63,100,0.33,Med,2029,0,0.0005814814814814,0,0,0,0
MLO-040,MLOps,106.0,156789.0,0.1838,0.0288,1.23,0.6,100,0.35,Low,2026,0,0.0017339622641509,0,0,0,0
MFG-065,Manufacturing,34.0,63288.0,0.6121,0.0387,1.04,0.61,100,0.22,Low,2028,0,0.0180029411764705,0,0,0,0
EDU-013,Education,46.0,108062.0,0.2822,0.0305,0.89,0.56,100,0.28,Low,2028,0,0.0061347826086956,0,0,0,0
ENR-037,Energy,106.0,216621.0,0.036,0.0078,0.84,0.76,100,0.29,High,2032,0,0.0003396226415094,0,0,0,0
LOG-003,Logistics,60.0,146316.0,0.5927,0.0867,0.6,0.43,100,0.45,Low,2028,0,0.0098783333333333,0,0,0,0
EDU-080,Education,35.0,61722.0,0.2505,0.0155,1.14,0.5,100,0.19,Low,2029,0,0.0071571428571428,0,0,0,0
MFG-080,Manufacturing,47.0,111570.0,0.0621,0.0069,1.01,0.55,100,0.37,Med,2027,0,0.0013212765957446,0,0,0,0
LEG-055,Legal,182.0,391863.0,0.7331,0.2873,0.81,0.88,72,0.46,High,2031,0,0.0040280219780219,0,0,0,0
MLO-074,MLOps,110.0,190133.0,0.3171,0.0603,1.06,0.55,100,0.58,Low,2027,0,0.0028827272727272,0,0,0,0
LOG-020,Logistics,44.0,73375.0,0.0406,0.003,1.39,0.72,100,0.28,Med,2028,0,0.0009227272727272,0,0,0,0
MFG-037,Manufacturing,54.0,94796.0,0.0383,0.0036,1.26,0.37,100,0.28,Low,2027,0,0.0007092592592592,0,0,0,0
TEL-057,Telecom,36.0,56494.0,0.3425,0.0193,0.86,0.78,100,0.24,Med,2029,0,0.0095138888888888,0,0,0,0
FIN-078,Finance,67.0,154258.0,0.332,0.0512,0.87,1.0,100,0.19,High,2032,0,0.004955223880597,0,0,0,0
RET-025,Retail,62.0,146386.0,0.0791,0.0116,0.93,0.33,100,0.75,Low,2027,0,0.0012758064516129,0,0,0,0
EDU-026,Education,55.0,156582.0,0.2554,0.04,0.87,0.71,100,0.18,Med,2030,0,0.0046436363636363,0,0,0,0
CRE-051,Creative,68.0,248468.0,0.3139,0.078,0.72,0.65,100,0.39,Med,2029,0,0.0046161764705882,0,0,0,0
GOV-075,Government,59.0,121861.0,0.0767,0.0093,0.96,1.0,100,0.23,High,2033,0,0.0013,0,0,0,0
ENR-012,Energy,98.0,205486.0,0.5835,0.1199,0.69,0.72,100,0.27,Med,2027,0,0.005954081632653,0,0,0,0
RET-008,Retail,30.0,46984.0,0.0902,0.0042,0.76,0.73,100,0.16,Med,2028,0,0.0030066666666666,0,0,0,0
EDU-076,Education,81.0,262148.0,0.1519,0.0398,1.07,0.45,100,0.69,Med,2028,0,0.0018753086419753,0,0,0,0
GOV-070,Government,46.0,95314.0,0.0672,0.0064,1.04,0.99,100,0.17,High,2032,0,0.0014608695652173,0,0,0,0
CON-067,Consulting,88.0,150151.0,0.0995,0.0149,0.85,0.82,100,0.21,Med,2027,0,0.0011306818181818,0,0,0,0
MFG-033,Manufacturing,56.0,132106.0,0.0629,0.0083,1.17,0.62,100,0.4,Med,2028,0,0.0011232142857142,0,0,0,0
EDU-038,Education,32.0,64155.0,0.5513,0.0354,1.07,0.78,100,0.2,Med,2028,0,0.017228125,0,0,0,0
MLO-064,MLOps,115.0,233578.0,0.0551,0.0129,0.76,0.63,100,0.52,Med,2027,0,0.0004791304347826,0,0,0,0
HLT-040,Healthcare,100.0,193781.0,0.3399,0.0659,0.66,1.0,100,0.09,High,2031,0,0.0033989999999999,0,0,0,0
EDU-043,Education,62.0,159126.0,0.7786,0.1239,0.88,0.65,70,0.45,Med,2027,0,0.012558064516129,0,0,0,0
MLO-010,MLOps,78.0,85061.0,0.6377,0.0542,0.72,0.54,100,0.42,Low,2028,0,0.008175641025641,0,0,0,0
LEG-052,Legal,103.0,240001.0,0.297,0.0713,0.77,0.89,100,0.36,High,2031,0,0.002883495145631,0,0,0,0
REL-049,Real Estate,87.0,141115.0,0.1196,0.0169,1.04,0.84,100,0.42,High,2029,0,0.0013747126436781,0,0,0,0
CRE-033,Creative,128.0,616634.0,0.3353,0.2068,0.58,0.39,91,0.57,Low,2027,0,0.00261953125,0,0,0,0
REL-080,Real Estate,41.0,65368.0,0.3115,0.0204,0.76,1.0,100,0.06,High,2032,0,0.0075975609756097,0,0,0,0
ENR-016,Energy,103.0,236434.0,0.1752,0.0414,1.01,0.73,100,0.39,Med,2029,0,0.0017009708737864,0,0,0,0
INS-053,Insurance,84.0,129917.0,0.2892,0.0376,1.01,0.96,100,0.27,High,2030,0,0.0034428571428571,0,0,0,0
INS-055,Insurance,86.0,173665.0,0.3184,0.0553,1.03,0.69,100,0.41,Med,2029,0,0.0037023255813953,0,0,0,0
ENR-060,Energy,69.0,89566.0,0.272,0.0244,1.12,0.9,100,0.27,Med,2029,0,0.0039420289855072,0,0,0,0
EDU-032,Education,61.0,192630.0,0.0444,0.0086,0.76,0.96,100,0.37,High,2031,0,0.000727868852459,0,0,0,0
LEG-069,Legal,103.0,220820.0,0.2889,0.0638,0.88,1.0,100,0.18,High,2032,0,0.002804854368932,0,0,0,0
MLO-008,MLOps,118.0,254060.0,0.2883,0.0732,0.78,0.95,100,0.45,High,2031,0,0.002443220338983,0,0,0,0
REL-055,Real Estate,91.0,188347.0,0.2968,0.0559,0.78,0.54,100,0.51,Low,2027,0,0.0032615384615384,0,0,0,0
INS-058,Insurance,82.0,181270.0,0.1017,0.0184,1.15,0.64,100,0.4,Med,2030,0,0.001240243902439,0,0,0,0
RET-031,Retail,41.0,68396.0,0.0811,0.0055,1.18,0.88,100,0.29,High,2030,0,0.0019780487804878,0,0,0,0
MFG-006,Manufacturing,34.0,64124.0,0.2775,0.0178,0.7,0.59,100,0.17,Med,2029,0,0.0081617647058823,0,0,0,0
ENR-072,Energy,78.0,150243.0,0.1354,0.0203,0.86,0.99,100,0.26,High,2030,0,0.0017358974358974,0,0,0,0
EDU-056,Education,74.0,212225.0,0.1066,0.0226,1.03,0.72,100,0.39,High,2032,0,0.0014405405405405,0,0,0,0
EDU-042,Education,37.0,103976.0,0.1978,0.0206,1.12,0.7,100,0.24,Med,2027,0,0.0053459459459459,0,0,0,0
RET-013,Retail,73.0,162307.0,0.0747,0.0121,1.04,0.13,100,0.65,Low,2026,0,0.0010232876712328,0,0,0,0
TEL-003,Telecom,68.0,126872.0,0.4054,0.0514,1.07,0.63,100,0.17,Low,2028,0,0.0059617647058823,0,0,0,0
REL-006,Real Estate,92.0,139735.0,0.2637,0.0368,0.99,0.74,100,0.3,High,2029,0,0.002866304347826,0,0,0,0
EDU-010,Education,64.0,226858.0,0.128,0.029,0.96,0.45,100,0.62,Low,2026,0,0.002,0,0,0,0
FIN-063,Finance,77.0,183880.0,0.4251,0.0782,0.66,0.64,100,0.29,Low,2027,0,0.0055207792207792,0,0,0,0
RET-069,Retail,42.0,76287.0,0.0977,0.0075,0.89,0.64,100,0.29,Med,2027,0,0.0023261904761904,0,0,0,0
CON-011,Consulting,157.0,255415.0,0.6508,0.1662,0.78,0.5,100,0.5,Low,2029,0,0.0041452229299363,0,0,0,0
ENR-034,Energy,84.0,170220.0,0.5281,0.0899,0.56,0.72,100,0.43,Med,2028,0,0.0062869047619047,0,0,0,0
TEL-055,Telecom,76.0,156499.0,0.166,0.026,0.79,0.8,100,0.27,Low,2026,0,0.0021842105263157,0,0,0,0
UNKNOWN,Logistics,45.0,87391.0,0.1021,0.0089,1.16,0.46,100,0.31,Low,2026,0,0.0022688888888888,0,0,0,0
REL-041,Real Estate,40.0,41159.0,0.3516,0.0145,1.16,0.79,100,0.04,Med,2028,0,0.00879,0,0,0,0
MLO-017,MLOps,102.0,117301.0,0.1519,0.0178,0.86,0.74,100,0.34,Med,2029,0,0.0014892156862745,0,0,0,0
ENR-029,Energy,106.0,233760.0,0.7977,0.1865,0.96,0.61,77,0.52,Low,2026,0,0.0075254716981132,0,0,0,0
GOV-059,Government,41.0,94538.0,0.3406,0.0322,0.62,1.0,100,0.26,High,2031,0,0.0083073170731707,0,0,0,0
REL-004,Real Estate,136.0,237192.0,0.3235,0.0767,1.01,0.55,100,0.55,Med,2029,0,0.0023786764705882,0,0,0,0
MFG-027,Manufacturing,34.0,59975.0,0.2359,0.0141,0.95,0.61,100,0.31,Low,2028,0,0.0069382352941176,0,0,0,0
ENR-074,Energy,65.0,132302.0,0.1944,0.0257,0.97,1.0,100,0.12,High,2033,0,0.0029907692307692,0,0,0,0
LOG-056,Logistics,76.0,123005.0,0.2592,0.0319,0.91,0.39,100,0.48,Low,2028,0,0.0034105263157894,0,0,0,0
HLT-072,Healthcare,87.0,233306.0,0.3255,0.0759,0.76,0.74,100,0.3,Med,2027,0,0.0037413793103448,0,0,0,0
MLO-021,MLOps,89.0,138413.0,0.2144,0.0297,1.1,0.75,100,0.32,Med,2028,0,0.0024089887640449,0,0,0,0
MFG-072,Manufacturing,47.0,94290.0,0.139,0.0131,0.8,0.74,100,0.23,Med,2028,0,0.0029574468085106,0,0,0,0
ENR-045,Energy,71.0,123518.0,0.0775,0.0096,0.97,1.0,100,0.02,High,2033,0,0.0010915492957746,0,0,0,0
MLO-007,MLOps,69.0,76439.0,0.378,0.0289,0.91,0.71,100,0.07,Low,2028,0,0.0054782608695652,0,0,0,0
LOG-040,Logistics,100.0,238404.0,0.0672,0.016,0.83,0.4,100,0.54,Low,2028,0,0.000672,0,0,0,0
LOG-018,Logistics,49.0,94326.0,0.0598,0.0056,1.0,1.0,100,0.25,High,2031,0,0.0012204081632653,0,0,0,0
TEL-072,Telecom,58.0,119484.0,0.2377,0.0284,0.91,0.93,100,0.23,High,2029,0,0.0040982758620689,0,0,0,0
LEG-019,Legal,122.0,265910.0,0.6471,0.1721,0.63,0.93,63,0.36,High,2031,0,0.0053040983606557,0,0,0,0
ENR-076,Energy,80.0,168346.0,0.4,0.0673,0.72,0.72,100,0.28,High,2032,0,0.005,0,0,0,0
EDU-060,Education,47.0,96805.0,0.5468,0.0529,1.03,0.95,100,0.18,High,2032,0,0.0116340425531914,0,0,0,0
GOV-069,Government,67.0,154360.0,0.4929,0.0761,0.75,0.95,100,0.35,High,2030,0,0.0073567164179104,0,0,0,0
HLT-069,Healthcare,174.0,392314.0,0.5957,0.2337,0.82,0.5,100,0.47,Med,2029,0,0.0034235632183908,0,0,0,0
GOV-011,Government,54.0,113887.0,0.2917,0.0332,0.89,0.66,100,0.16,Med,2027,0,0.0054018518518518,0,0,0,0
HLT-052,Healthcare,143.0,221578.0,0.5621,0.1245,1.13,0.76,100,0.26,Med,2029,0,0.0039307692307692,0,0,0,0
MLO-016,MLOps,107.0,107096.0,0.7217,0.0773,0.86,0.46,100,0.44,Low,2028,0,0.0067448598130841,0,0,0,0
REL-025,Real Estate,66.0,95197.0,0.2659,0.0253,1.0,0.77,100,0.18,Med,2030,0,0.0040287878787878,0,0,0,0
MFG-063,Manufacturing,31.0,45686.0,0.3033,0.0139,1.25,0.64,100,0.13,Low,2027,0,0.0097838709677419,0,0,0,0
CRE-002,Creative,41.0,227585.0,0.2621,0.0597,1.09,0.67,88,0.36,Low,2028,0,0.0063926829268292,0,0,0,0
MLO-028,MLOps,91.0,112265.0,0.3078,0.0346,0.78,0.75,100,0.34,Med,2029,0,0.0033824175824175,0,0,0,0
MLO-032,MLOps,63.0,80619.0,0.5445,0.0439,1.01,0.63,100,0.23,Low,2026,0,0.0086428571428571,0,0,0,0
RET-040,Retail,29.0,45974.0,0.1042,0.0048,0.56,0.61,100,0.36,Med,2029,0,0.0035931034482758,0,0,0,0
MFG-064,Manufacturing,40.0,78419.0,0.3477,0.0273,0.85,0.96,100,0.13,High,2031,0,0.0086925,0,0,0,0
HLT-021,Healthcare,200.0,430009.0,0.2999,0.129,0.9,0.57,100,0.37,Med,2029,0,0.0014995,0,0,0,0
GOV-003,Government,63.0,132829.0,0.4144,0.055,0.53,0.54,100,0.34,Low,2027,0,0.0065777777777777,0,0,0,0
MFG-001,Manufacturing,33.0,63860.0,0.033,0.0021,0.91,1.0,100,0.06,High,2031,0,0.001,0,0,0,0
MLO-041,MLOps,71.0,85662.0,0.1863,0.016,1.03,0.97,100,0.13,High,2031,0,0.0026239436619718,0,0,0,0
INS-010,Insurance,62.0,123279.0,0.192,0.0237,0.91,0.77,100,0.3,Low,2027,0,0.0030967741935483,0,0,0,0
HLT-068,Healthcare,136.0,308473.0,0.6121,0.1888,1.04,0.78,88,0.17,Med,2028,0,0.0045007352941176,0,0,0,0
ENR-069,Energy,108.0,273045.0,0.2295,0.0627,0.96,0.71,100,0.4,Med,2027,0,0.002125,0,0,0,0
LOG-073,Logistics,59.0,121588.0,0.0585,0.0071,1.09,0.61,100,0.35,Med,2030,0,0.0009915254237288,0,0,0,0
RET-032,Retail,41.0,94831.0,0.0306,0.0029,1.12,0.73,100,0.22,Med,2028,0,0.0007463414634146,0,0,0,0
HLT-041,Healthcare,173.0,388638.0,0.5846,0.2272,0.56,0.8,77,0.44,High,2032,0,0.003379190751445,0,0,0,0
EDU-051,Education,68.0,205533.0,0.2188,0.045,0.98,0.57,100,0.46,Low,2026,0,0.0032176470588235,0,0,0,0
FIN-065,Finance,54.0,95358.0,0.6152,0.0587,0.95,1.0,99,0.05,High,2030,0,0.0113925925925925,0,0,0,0
LOG-032,Logistics,31.0,54269.0,0.1334,0.0072,0.91,0.74,100,0.16,Low,2026,0,0.0043032258064516,0,0,0,0
LEG-071,Legal,147.0,242781.0,0.3651,0.0886,0.87,0.71,100,0.33,Med,2029,0,0.0024836734693877,0,0,0,0
CON-014,Consulting,100.0,193983.0,0.3992,0.0774,0.95,0.55,100,0.39,Low,2028,0,0.003992,0,0,0,0
REL-032,Real Estate,120.0,203020.0,0.0789,0.016,1.03,0.56,100,0.47,Med,2029,0,0.0006575,0,0,0,0
MFG-062,Manufacturing,34.0,57903.0,0.2152,0.0125,0.58,0.83,100,0.17,High,2031,0,0.0063294117647058,0,0,0,0
CRE-022,Creative,59.0,270475.0,0.2252,0.0609,0.84,0.76,100,0.39,Low,2029,0,0.0038169491525423,0,0,0,0
REL-059,Real Estate,46.0,38711.0,0.5754,0.0223,0.71,0.75,100,0.22,Med,2029,0,0.0125086956521739,0,0,0,0
LEG-041,Legal,93.0,149534.0,0.4403,0.0658,0.83,0.98,100,0.23,High,2029,0,0.0047344086021505,0,0,0,0
HLT-037,Healthcare,107.0,211323.0,0.3858,0.0815,0.9,0.99,100,0.17,High,2030,0,0.0036056074766355,0,0,0,0
REL-008,Real Estate,129.0,204465.0,0.0769,0.0157,0.91,0.53,100,0.43,Med,2027,0,0.0005961240310077,0,0,0,0
ENR-051,Energy,92.0,224388.0,0.2327,0.0522,0.81,0.92,100,0.29,High,2029,0,0.0025293478260869,0,0,0,0
ENR-065,Energy,74.0,137530.0,0.5386,0.0741,0.72,0.82,100,0.22,High,2029,0,0.0072783783783783,0,0,0,0
LOG-054,Logistics,25.0,32972.0,0.0,0.0,1.03,0.71,100,0.17,Med,2029,0,0.0,1,1,1,0
CRE-005,Creative,11650.0,30934250.0,0.1271,0.0206,1.1,0.81,100,0.06,Med,2030,0,1.0909871244635192e-05,0,0,0,1
TEL-078,Telecom,42.0,82049.0,0.1063,0.0087,1.21,0.7,100,0.31,Low,2026,0,0.0025309523809523,0,0,0,0
RET-003,Retail,26.0,45611.0,0.5301,0.0242,0.77,0.65,100,0.09,Low,2027,0,0.0203884615384615,0,0,0,0
LEG-012,Legal,77.0,143885.0,0.3467,0.0499,0.8,1.0,100,0.21,High,2031,0,0.0045025974025974,0,0,0,0
REL-045,Real Estate,95.0,144733.0,0.2186,0.0316,1.02,0.46,100,0.52,Low,2026,0,0.0023010526315789,0,0,0,0
EDU-050,Education,28.0,62662.0,0.4729,0.0296,0.87,0.72,100,0.26,Med,2028,0,0.0168892857142857,0,0,0,0
UNKNOWN,Unknown,40.0,63078.0,0.0897,0.0057,0.95,0.89,100,0.31,Med,2028,0,0.0022425,0,0,0,0
GOV-039,Government,46.0,109254.0,0.1152,0.0126,0.84,0.99,100,0.12,High,2030,0,0.0025043478260869,0,0,0,0
UNKNOWN,Energy,44.0,73491.0,0.4605,0.0338,0.74,1.0,100,0.05,High,2031,0,0.010465909090909,0,0,0,0
REL-023,Real Estate,115.0,199808.0,0.2341,0.0468,0.88,0.75,100,0.49,Med,2028,0,0.002035652173913,0,0,0,0
EDU-072,Education,31.0,71394.0,0.7491,0.0535,0.73,0.81,73,0.11,Med,2027,0,0.0241645161290322,0,0,0,0
CRE-018,Creative,75.0,323562.0,0.5801,0.1877,1.04,0.6,47,0.51,Low,2026,0,0.0077346666666666,0,0,0,0
MFG-023,Manufacturing,11650.0,30934250.0,0.0603,0.0096,0.89,0.47,100,0.59,Low,2026,0,5.175965665236052e-06,0,0,0,1
TEL-033,Telecom,79.0,161413.0,0.3715,0.06,1.11,0.92,100,0.38,High,2031,0,0.0047025316455696,0,0,0,0
MFG-061,Manufacturing,44.0,68202.0,0.274,0.0187,0.94,0.92,100,0.14,High,2030,0,0.0062272727272727,0,0,0,0
FIN-030,Finance,59.0,96965.0,0.7511,0.0728,0.71,0.75,100,0.19,Low,2027,0,0.0127305084745762,0,0,0,0
MLO-056,MLOps,95.0,140858.0,0.4767,0.0671,0.83,0.87,100,0.28,Med,2027,0,0.0050178947368421,0,0,0,0
INS-044,Insurance,38.0,81236.0,0.3187,0.0259,1.05,0.93,100,0.03,Med,2029,0,0.0083868421052631,0,0,0,0
REL-038,Real Estate,56.0,58742.0,0.4095,0.0241,0.97,1.0,100,0.07,High,2032,0,0.0073124999999999,0,0,0,0
ENR-063,Energy,92.0,170767.0,0.7493,0.128,0.87,0.8,91,0.39,Med,2029,0,0.0081445652173913,0,0,0,0
TEL-046,Telecom,73.0,113015.0,0.1683,0.019,0.67,0.62,100,0.25,Low,2028,0,0.0023054794520547,0,0,0,0
FIN-041,Finance,140.0,217049.0,0.3379,0.0733,0.88,0.66,100,0.47,Med,2028,0,0.0024135714285714,0,0,0,0
FIN-017,Finance,139.0,247194.0,0.4293,0.1061,1.07,0.59,100,0.52,Med,2028,0,0.003088489208633,0,0,0,0
REL-067,Real Estate,42.0,56010.0,0.3063,0.0172,0.93,1.0,100,0.1,High,2033,0,0.0072928571428571,0,0,0,0
INS-048,Insurance,56.0,96588.0,0.2679,0.0259,0.86,0.89,100,0.2,Med,2029,0,0.0047839285714285,0,0,0,0
MLO-050,MLOps,81.0,109577.0,0.229,0.0251,0.66,0.54,100,0.31,Low,2028,0,0.0028271604938271,0,0,0,0
LOG-014,Logistics,29.0,41227.0,0.5805,0.0239,0.82,0.73,100,0.25,Low,2029,0,0.0200172413793103,0,0,0,0
INS-074,Insurance,51.0,96599.0,0.6885,0.0665,0.59,1.0,96,0.1,High,2032,0,0.0135,0,0,0,0
ENR-064,Energy,56.0,119273.0,0.2335,0.0279,1.12,0.85,100,0.01,Med,2029,0,0.0041696428571428,0,0,0,0
MFG-015,Manufacturing,50.0,105039.0,0.1826,0.0192,1.23,0.9,100,0.13,High,2030,0,0.003652,0,0,0,0
